number of iterations required: 161
---utility for each state (row, column)---
(2, 44) - utility: 73.259
(2, 45) - utility: 74.633
(2, 46) - utility: 75.874
(2, 47) - utility: 77.005
(2, 48) - utility: 75.729
(2, 49) - utility: 74.989
(2, 50) - utility: 74.609
(2, 51) - utility: 73.468
(2, 52) - utility: 71.285
(2, 53) - utility: 69.077
(2, 54) - utility: 67.947
(2, 55) - utility: 66.616
(2, 56) - utility: 65.330
(2, 57) - utility: 63.900
(2, 59) - utility: 65.487
(2, 60) - utility: 67.726
(2, 61) - utility: 68.732
(2, 63) - utility: 73.764
(2, 64) - utility: 73.725
(2, 65) - utility: 74.015
(2, 66) - utility: 74.297
(2, 67) - utility: 75.263
(2, 68) - utility: 73.898
(2, 69) - utility: 72.629
(2, 70) - utility: 70.359
(2, 71) - utility: 70.949
(2, 72) - utility: 70.091
(2, 73) - utility: 71.102
(2, 75) - utility: 72.659
(2, 76) - utility: 72.700
(2, 77) - utility: 71.567
(2, 78) - utility: 70.436
(2, 79) - utility: 68.218
(2, 80) - utility: 67.401
(2, 81) - utility: 69.271
(2, 83) - utility: 70.755
(2, 85) - utility: 73.453
(2, 86) - utility: 72.097
(2, 87) - utility: 70.915
(2, 89) - utility: 68.408
(2, 91) - utility: 66.927
(2, 92) - utility: 65.194
(2, 94) - utility: 68.726
(2, 95) - utility: 68.941
(2, 96) - utility: 70.256
(2, 97) - utility: 70.171
(2, 99) - utility: 74.174
(3, 0) - utility: 65.541
(3, 2) - utility: 72.158
(3, 3) - utility: 74.247
(3, 4) - utility: 73.542
(3, 5) - utility: 70.998
(3, 9) - utility: 73.205
(3, 11) - utility: 70.759
(3, 12) - utility: 69.723
(3, 13) - utility: 67.817
(3, 14) - utility: 70.014
(3, 15) - utility: 71.069
(3, 16) - utility: 71.019
(3, 17) - utility: 69.042
(3, 18) - utility: 70.660
(3, 19) - utility: 69.704
(3, 20) - utility: 70.828
(3, 21) - utility: 71.835
(3, 22) - utility: 74.043
(3, 23) - utility: 76.784
(3, 24) - utility: 76.924
(3, 25) - utility: 78.356
(3, 26) - utility: 78.538
(3, 29) - utility: 77.047
(3, 30) - utility: 75.457
(3, 31) - utility: 72.874
(3, 33) - utility: 71.847
(3, 34) - utility: 73.055
(3, 35) - utility: 74.361
(3, 36) - utility: 74.287
(3, 37) - utility: 74.360
(3, 38) - utility: 73.028
(3, 39) - utility: 71.172
(3, 40) - utility: 72.449
(3, 41) - utility: 72.203
(3, 42) - utility: 72.406
(3, 43) - utility: 73.641
(3, 46) - utility: 77.146
(3, 47) - utility: 78.578
(3, 49) - utility: 76.190
(3, 50) - utility: 75.945
(3, 51) - utility: 74.567
(3, 52) - utility: 73.115
(3, 53) - utility: 70.386
(3, 54) - utility: 67.988
(3, 55) - utility: 65.828
(3, 56) - utility: 64.034
(3, 57) - utility: 66.031
(3, 58) - utility: 67.481
(3, 59) - utility: 67.442
(3, 60) - utility: 68.827
(3, 61) - utility: 70.015
(3, 62) - utility: 72.443
(3, 63) - utility: 73.676
(3, 64) - utility: 74.904
(3, 65) - utility: 75.240
